data_segment,lookback_window,entry_threshold,exit_threshold,stop_threshold,total_return,annualized_return,sharpe_ratio,maximum_drawdown,number_of_trades,total_cost
test,40,2.5,0.5,3.5,0.12945410798434787,0.06226102189916727,0.8820264145651336,-0.04173857044675855,11,2307.7887210417375
test,40,2.5,0.5,4.0,0.12790184984908182,0.06156303347066783,0.8725919222964477,-0.04173857044675855,10,2157.1571617062045
test,40,2.5,1.0,3.0,0.007038074879181178,0.004531885688840553,0.09261141184488413,-0.060169702170135286,15,2360.284394659876
test,40,2.5,1.0,3.5,0.07230308269596408,0.03593168521358292,0.5543107437349857,-0.05889980257602123,11,2009.0976756148125
test,40,2.5,1.0,4.0,0.07082936971212672,0.03525092943922559,0.5441158992238342,-0.06019319770135145,10,1867.763695328202
test,60,1.5,0.0,3.0,0.1252378473348803,0.061279663218864355,0.7436633361404131,-0.08428797715533654,18,4097.907797000817
test,60,1.5,0.0,3.5,0.11041839085494298,0.05460879757528381,0.6625584094893182,-0.09836747915484478,17,3911.1393453485407
test,60,1.5,0.0,4.0,0.11978879054154201,0.05885834511430588,0.7114783246049475,-0.09075894424553832,13,3371.0637065544133
test,60,1.5,0.5,3.0,0.06516748950458462,0.032975948443676906,0.47509644744976887,-0.07576497477040567,18,3829.008456749354
test,60,1.5,0.5,3.5,0.051139163589363656,0.02648229659058865,0.38102409563277556,-0.0899755219305387,17,3652.6495007052813
test,60,1.5,0.5,4.0,0.060009328358054725,0.03061895296369288,0.43860620346704354,-0.0822961704767734,13,3115.537478110193
test,60,1.5,1.0,3.0,0.0019400668307365532,0.002207893767979918,0.043549152007302,-0.07523162292553343,23,4163.195594117931
test,60,1.5,1.0,3.5,-0.01346523180289605,-0.0051561109454346665,-0.10127903528617853,-0.08945037062052741,23,4129.997535494747
